ind,w,r2,peak,nt,xyrot
S102 RM PS DOM TRIAL 2.c3d,0.310953773384805,0.80497168535853,1.12230215827338,1.53140240454412,0.2
S102 RM PS DOM TRIAL 2.c3d,0.309724756034816,0.805920703926649,1.12142857142857,1.5367340391402,0.4
S102 RM PS DOM TRIAL 2.c3d,0.313023015914967,0.802062351949471,1.1294964028777,1.53140240454412,0.6
S102 RM PS DOM TRIAL 2.c3d,0.314552941818627,0.800462106120086,1.13669064748201,1.53140240454412,0.8
S102 RM PS DOM TRIAL 2.c3d,0.312056648471316,0.804178686213312,1.12230215827338,1.53140240454412,0
S102 RM PS DOM TRIAL 2.c3d,0.318269452202918,0.795369781969414,1.13768115942029,1.52645845829091,1.2
S102 RM PS DOM TRIAL 2.c3d,0.317439362410947,0.795593609784918,1.1294964028777,1.53924983208813,1.4
S102 RM PS DOM TRIAL 2.c3d,0.317483961552993,0.794729389897715,1.1294964028777,1.53924983208813,1.6
S102 RM PS DOM TRIAL 2.c3d,0.316589496188598,0.795442831622191,1.12230215827338,1.53924983208813,1.8
S102 RM PS DOM TRIAL 2.c3d,0.293037302827686,0.81544677533031,1.11450381679389,1.50345189027422,10.2
S102 RM PS DOM TRIAL 2.c3d,0.292082511409187,0.816470816070497,1.11450381679389,1.50345189027422,10.4
S102 RM PS DOM TRIAL 2.c3d,0.29134141152293,0.817349615601675,1.11450381679389,1.50345189027422,10.6
S102 RM PS DOM TRIAL 2.c3d,0.290651229216736,0.818121729176718,1.10606060606061,1.51709588668203,10.8
S102 RM PS DOM TRIAL 2.c3d,0.293879566446249,0.814447481073813,1.11450381679389,1.50345189027422,10
S102 RM PS DOM TRIAL 2.c3d,0.288731371448497,0.820234623440386,1.11363636363636,1.51709588668203,11.2
S102 RM PS DOM TRIAL 2.c3d,0.288006613512026,0.821098486166802,1.11363636363636,1.51709588668203,11.4
S102 RM PS DOM TRIAL 2.c3d,0.286998596924619,0.82200324923541,1.11450381679389,1.50345189027422,11.6
S102 RM PS DOM TRIAL 2.c3d,0.286312320245922,0.822532329204227,1.10687022900763,1.50345189027422,11.8
S102 RM PS DOM TRIAL 2.c3d,0.28942568913571,0.819459950287977,1.10606060606061,1.51709588668203,11
S102 RM PS DOM TRIAL 2.c3d,0.28497212335906,0.823951261571221,1.11450381679389,1.50345189027422,12.2
S102 RM PS DOM TRIAL 2.c3d,0.283769375054806,0.825469041424522,1.11450381679389,1.50345189027422,12.4
S102 RM PS DOM TRIAL 2.c3d,0.283443150886287,0.825966254529956,1.11450381679389,1.50345189027422,12.6
S102 RM PS DOM TRIAL 2.c3d,0.282618226126258,0.827145296573703,1.11450381679389,1.50345189027422,12.8
S102 RM PS DOM TRIAL 2.c3d,0.285959426935988,0.822881132179352,1.10687022900763,1.50345189027422,12
S102 RM PS DOM TRIAL 2.c3d,0.281350225361988,0.828865638740586,1.11450381679389,1.50345189027422,13.2
S102 RM PS DOM TRIAL 2.c3d,0.280191417562905,0.830263539318999,1.11450381679389,1.50345189027422,13.4
S102 RM PS DOM TRIAL 2.c3d,0.280638654366549,0.83003617131513,1.11450381679389,1.50345189027422,13.6
S102 RM PS DOM TRIAL 2.c3d,0.280033258422603,0.83080628735102,1.10687022900763,1.50345189027422,13.8
S102 RM PS DOM TRIAL 2.c3d,0.281888602474039,0.828058190234957,1.11450381679389,1.50345189027422,13
S102 RM PS DOM TRIAL 2.c3d,0.278692949811802,0.832848220734349,1.09923664122137,1.50345189027422,14.2
S102 RM PS DOM TRIAL 2.c3d,0.278069024821721,0.833735324442559,1.10687022900763,1.50345189027422,14.4
S102 RM PS DOM TRIAL 2.c3d,0.277281850092857,0.834741031777634,1.09923664122137,1.50345189027422,14.6
S102 RM PS DOM TRIAL 2.c3d,0.277098473327713,0.835125867785168,1.09923664122137,1.50345189027422,14.8
S102 RM PS DOM TRIAL 2.c3d,0.279397033233498,0.831887089900894,1.09923664122137,1.50345189027422,14
S102 RM PS DOM TRIAL 2.c3d,0.27531591511461,0.837374399358189,1.09923664122137,1.50345189027422,15.2
S102 RM PS DOM TRIAL 2.c3d,0.274894484007928,0.838100384295157,1.09923664122137,1.50345189027422,15.4
S102 RM PS DOM TRIAL 2.c3d,0.274470108101255,0.838372696091525,1.09923664122137,1.50345189027422,15.6
S102 RM PS DOM TRIAL 2.c3d,0.273565749381644,0.83959139172171,1.09923664122137,1.50345189027422,15.8
S102 RM PS DOM TRIAL 2.c3d,0.27640262951354,0.83614420120035,1.09923664122137,1.50345189027422,15
S102 RM PS DOM TRIAL 2.c3d,0.272509202395739,0.841080319688962,1.09848484848485,1.51709588668203,16.2
S102 RM PS DOM TRIAL 2.c3d,0.272078083714875,0.841842179182676,1.09848484848485,1.51709588668203,16.4
S102 RM PS DOM TRIAL 2.c3d,0.271760894393038,0.842370056713822,1.09090909090909,1.51709588668203,16.6
S102 RM PS DOM TRIAL 2.c3d,0.270787534265181,0.843458603214011,1.09923664122137,1.50345189027422,16.8
S102 RM PS DOM TRIAL 2.c3d,0.273055292552494,0.840485861291594,1.09923664122137,1.50345189027422,16
S102 RM PS DOM TRIAL 2.c3d,0.269191103457891,0.845104466903192,1.09160305343511,1.50345189027422,17.2
S102 RM PS DOM TRIAL 2.c3d,0.268993963264759,0.845430353691258,1.09160305343511,1.50345189027422,17.4
S102 RM PS DOM TRIAL 2.c3d,0.268703927119282,0.846001354037806,1.09923664122137,1.50345189027422,17.6
S102 RM PS DOM TRIAL 2.c3d,0.268149224986447,0.846707420746901,1.09923664122137,1.50345189027422,17.8
